slug,doi,journal,item_id,score,note
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,_eligibility,Y,Empirical study using live juvenile swamp eels (Monopterus albus) in a controlled feeding trial.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,subjects_taxon,Y,"Swamp eel (Monopterus albus), juveniles, initially 4.0±0.5g; sex not specified."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,subjects_source,Y,Eel fry purchased from a commercial farm; weight ~4g/eel at purchase.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,subjects_n,Y,"12 tanks total, 40 eels/m² per tank; 4 treatment groups with 3 replicates; weekly measurements from 10 randomly selected eels per tank."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,proc_handling,Y,Eels housed in 12 plastic tanks (1.32m×0.95m×0.66m); black nylon bundles (0.5kg/tank) provided for hiding; tanks partially cleaned daily (50% water replacement).
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,proc_anaesthesia,NA,No invasive procedures or surgery reported; no anaesthesia required.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,proc_biosecurity,NA,"No explicit biosecurity measures mentioned; native species in controlled lab setting, low escape risk."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,ethics_review,Y,"Institutional Review Board statement provided: IRB not applicable for aquatic procedures in Vietnam; study adhered to Law on Veterinary Medicine (79/2015/QH13), Law on Animal Husbandry (32/2018/QH14),"
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,ethics_endpoints,N,"No predefined humane endpoints, welfare checks, or mortality interventions described; no field work."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,ethics_statement,N,"Institutional compliance noted in methods but no explicit discussion of welfare considerations or the three Rs (Replacement, Reduction, Refinement)."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,nutrition_diet,Y,"Four experimental diet formulations with 0%, 10%, 30%, 50% BSFL meal substitution; detailed ingredient composition provided (Table 1); fed once daily at 5% body weight; no fasting reported."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,env_housing,Y,"12 plastic tanks 1.32m×0.95m×0.66m; stocking density 40 eels/m²; black nylon bundles for refugia; daily 50% water replacement; temperature, pH, dissolved oxygen monitored twice daily."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,env_acclimation,Y,Eels acclimated for 10 days before experimental feeding began.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,env_field,NA,Pure laboratory study with controlled tank conditions; no field work.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,health_monitoring,Y,Weight and length measured weekly from 10 randomly selected eels per tank; survival rates recorded; no disease screening or detailed health checks described.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,health_injury,Y,"Survival rates reported (75.2–76.0%); implicitly indicates 23.8–24.8% mortality/attrition, but no details on causes, timing, or interventions provided."
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,fate_end,N,No explicit statement of how eels were killed or their final fate; only that fillets were prepared and analyzed for meat quality.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,behaviour_general,Y,Black nylon bundles provided as hiding spaces to support species-typical burrowing/shelter-seeking behavior; no other enrichment or disturbance minimisation mentioned.
10-3390-aquacj5010007,10.3390/aquacj5010007,Aquaculture,affect_indicators,N,No behavioral or physiological stress/pain indicators monitored; no precautionary measures for affective capacity described.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,_eligibility,Y,Empirical study using live giant river prawns (Macrobrachium rosenbergii) in controlled rearing experiments.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,subjects_taxon,Y,"Macrobrachium rosenbergii, 2023 Year Class, both males and females, adult broodstock."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,subjects_source,Y,"Lab colony: CIFA-GI Scampi® strain, genetically improved line maintained at ICAR-CIFA, Bhubaneswar."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,subjects_n,Y,"18 boxes (individual rearing) + 6 hapas (group rearing), each pond; 9 males and 9 females per treatment per pond."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,proc_handling,Y,"Prawns measured for length and weight before stocking; handling during sampling every 15 days; boxes cleaned using brush, hapas replaced with fresh clean ones."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,proc_anaesthesia,NA,No invasive procedures or kill methods described in methods section; no anaesthesia required.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,proc_biosecurity,N,"No mention of biosecurity measures, escape prevention, or disposal of contaminated material."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,ethics_review,Y,Study approved by ICAR-CIFA Animal Ethical Committee (protocol F.No.ICAR-CIFA/Eth.Comm./2025-26/0330July2025).
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,ethics_endpoints,N,No predefined humane endpoints or welfare-related stopping criteria mentioned; no discussion of non-target impacts.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,ethics_statement,N,"No statement engaging with welfare considerations or the three Rs (Replacement, Reduction, Refinement) relative to study design."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,nutrition_diet,Y,"Commercial pellet feed (36% crude protein, 4% lipid), fed once daily at 5% of body weight per day."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,env_housing,Y,"Individual rearing: plastic mesh boxes (30×20×20 cm); group rearing: nylon hapas (2 m², 2×1×1 m) in two 0.10 ha earthen ponds; density 3 nos./m² (GR) vs 16.67 nos./m² (IR)."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,env_acclimation,N,No acclimation period described; experiment began immediately after stocking.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,env_field,NA,Pure lab/pond study with no wild field component; all animals held in captive conditions.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,health_monitoring,Y,"Sampling every 15 days; visual health assessment (active, clean exoskeleton, no fouling/spots); morphotypes and maturity recorded; water quality monitored twice weekly."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,health_injury,N,"No explicit statement on injuries or unexpected deaths; only survival percentages reported (50%, 77.8%, 100%). Claw loss/damage noted for morphotype classification but no injury counts provided."
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,fate_end,N,No explicit statement of killing method; methods state 'all surviving prawns were measured' after 70 days but no endpoint or disposition method specified.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,behaviour_general,Y,Study directly addresses behavioral/social factors: cannibalism and aggression in group rearing; male social hierarchy (dominance morphotypes) discussed; individual rearing eliminates social stress.
10-3390-aquacj5030016,10.3390/aquacj5030016,Aquaculture,affect_indicators,Y,Survival rates and morphotype distribution serve as behavioral/physiological indicators of welfare; aggression and cannibalism identified as stressors in group rearing.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,_eligibility,Y,Empirical study using live Pacific white shrimp (Litopenaeus vannamei) at larval and juvenile stages in controlled aquaculture conditions.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,subjects_taxon,Y,"Pacific white shrimp (Litopenaeus vannamei), post-larvae (0.2 mg) and juveniles; life stages clearly identified."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,subjects_source,Y,"Post-larvae obtained from private hatchery in Chachoengsao province, Thailand; lab colony origin specified."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,subjects_n,Y,"300 PL per replicate aquarium (post-larval), 110 juveniles per tank (grow-out); 3 replicates per treatment; total n=12 tanks."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,proc_handling,Y,Acclimation period of 14 days before experiment; shrimp transferred between tanks; weekly sampling and counting performed.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,proc_anaesthesia,N,No mention of anaesthesia or analgesia for any procedures. Sampling and sacrifice methods not explicitly detailed with regard to welfare measures.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,proc_biosecurity,Y,Freshwater RAS systems used; semi-outdoor conditions protected by wire fence; tanks contained within facility; no escape risk documented.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,ethics_review,Y,"Institutional review approved: 'SERD-2024-10, 19 March 2024' from School of Environment Resources and Development (SERD), Asian Institute of Technology."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,ethics_endpoints,N,No predefined humane endpoints stated. Mortality observed during experiments but no explicit stopping criteria or welfare-based endpoints documented.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,ethics_statement,N,"Institutional permit mentioned but no discussion of welfare reasoning or the 3Rs (Replacement, Reduction, Refinement) in study design."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,nutrition_diet,Y,"Commercial shrimp feed (43% CP for PL, 40% CP for grow-out) with 10% contaminated corn; fed to satiation 3× daily (PL) or 2× daily (grow-out); no mention of fasting."
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,env_housing,Y,100 L aquaria (post-larval) and 300 L fiberglass tanks (grow-out); semi-outdoor conditions with aeration; 12 h light:12 h dark photoperiod; temperature 27–28°C maintained; water exchange weekly.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,env_acclimation,Y,14-day acclimation period before experiment; shrimp kept in two fiberglass tanks under same conditions and fed control diet.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,env_field,NA,Pure laboratory study; no field component.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,health_monitoring,Y,"Water quality parameters monitored weekly (pH, temperature, DO, ammonia, nitrite); mortality and external body condition observed daily during bacterial challenge; morphological analysis of organs at "
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,health_injury,Y,Mortality recorded monthly during grow-out and daily during bacterial challenge; survival rates reported; no injuries mentioned but intestinal inflammation and abnormal hepatopancreas noted in some gr
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,fate_end,N,"Shrimp sampling and sacrifice method not explicitly named. Text states samples 'randomly selected for sacrifice in the deep freezer' but no explicit killing method (e.g., freezing duration, temperatur"
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,behaviour_general,Y,Feeding behavior observed and recorded; tanks provide basic structure; no enrichment explicitly mentioned; disturbance minimisation not addressed.
10-3390-aquacj5040019richfood,10.3390/aquacj5040019richfood,Aquaculture,affect_indicators,Y,"Shell color, stomach fullness, intestinal coloration (inflammation vs. normal), hepatopancreas appearance assessed as morphological indicators of health status; no explicit stress/pain indicators stat"
10-3390-aquacj5040020,10.3390/aquacj5040020,Aquaculture,_eligibility,Y,"Empirical study using live freshwater sponges (Radiospongilla inesi, Porifera) collected and examined in laboratory."
10-3390-aquacj5040020,10.3390/aquacj5040020,Aquaculture,subjects_taxon,Y,Radiospongilla inesi (Spongillidae); life stage not specified; identified via morphological analysis of gemmules and spicules.
10-3390-aquacj5040020,10.3390/aquacj5040020,Aquaculture,subjects_source,Y,"Wild-collected from Chavantes Reservoir, Paranapanema River, Brazil (23°07'31.3"" S, 49°37'40.6"" W); collected October–November 2024 from net cages (n=3) and submerged branches (n=5)."
10-3390-aquacj5040020,10.3390/aquacj5040020,Aquaculture,subjects_n,Y,"Eight sponge samples collected; 20 structures measured per sample (gemmules, megascleres, microscleres, spicules). No attrition reported between collection and analysis."
10-3390-aquacj5040020,10.3390/aquacj5040020,Aquaculture,proc_handling,Y,"Specimens collected from cages and natural substrates; naturally dried under sunlight and transported to laboratory. No restraint, tagging, or marking described."
